time,logger,level,message,exception
2012-07-03 10:38:28.5413,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 9 documents in IndexName: Temp/UserModels, LastIndexedEtag: 00000000-0000-0000-0000-000000000000",
2012-07-03 10:38:28.5413,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Indexing 9 documents for index: Temp/UserModels. (UserModels/1,UserModels/2,UserModels/3,UserModels/33,UserModels/34,UserModels/65,UserModels/66,UserModels/97,UserModels/129)",
2012-07-03 10:38:28.6222,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:28.7222,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:28.7721,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/1 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/1
",
2012-07-03 10:38:28.8221,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/2 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/2
",
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/3 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/3
",
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/33 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/33
",
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/34 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/34
",
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/65 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/65
",
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/66 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/66
",
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/97 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/97
",
2012-07-03 10:38:28.8881,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/129 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/129
",
2012-07-03 10:38:28.9221,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:29.0220,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:29.1220,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:29.1380,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 27 documents for Temp/UserModels,
2012-07-03 10:38:29.1539,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 4 because: WORK BY IndexingExecuter,
2012-07-03 10:38:29.1539,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:38:29.1539,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 4, for: IndexingExecuter, will wait for additional work",
2012-07-03 10:38:29.2249,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:29.2709,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/1' was found,
2012-07-03 10:38:29.2749,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/2' was found,
2012-07-03 10:38:29.2749,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/3' was found,
2012-07-03 10:38:29.2749,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/33' was found,
2012-07-03 10:38:29.2749,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/34' was found,
2012-07-03 10:38:29.2749,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/65' was found,
2012-07-03 10:38:29.2969,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/66' was found,
2012-07-03 10:38:29.3069,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/97' was found,
2012-07-03 10:38:29.4658,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/129' was found,
2012-07-03 10:38:29.5438,Raven.Database.Server.HttpServer,Debug,"Request #   6: GET     - 2,431 ms - SomeDB     - 200 - /indexes/dynamic/UserModels?query=&start=0&pageSize=128&aggregation=None",
2012-07-03 10:38:29.5438,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 2,344 ms
	Index: Temp/UserModels
	Results: 9 returned out of 9 total.
",
2012-07-03 10:38:53.9171,Raven.Database.Server.HttpServer,Debug,Request #   7: GET     -    26 ms - SomeDB     - 304 - /indexes/dynamic/UserModels?query=&start=0&pageSize=128&aggregation=None,
2012-07-03 10:38:53.9171,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 26 ms
",
2012-07-03 10:40:01.2106,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-07-03 10:40:01.2106,Raven.Database.Server.HttpServer,Debug,Request #   8: GET     -     0 ms - SomeDB     - 404 - /docs/Raven/Replication/Destinations,
2012-07-03 10:40:01.3585,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/SomeDB' was found,
